Nb	Mean	Median	SD
4	0.0843080613711	0.0965417867435	0.0445943199636
5	0.116047876285	0.0977588483917	0.0866924763431
6	0.176695651972	0.16969903942	0.0753223147997
7	0.22200640266	0.248448830537	0.0961373104561
8	0.26550712034	0.27306956837	0.100730320773
9	0.296698615349	0.306215553501	0.111422679195
10	0.321068683593	0.328955630792	0.109870832024
11	0.355492607742	0.373265227677	0.1211483888
12	0.392638690522	0.422591417204	0.125112255886
13	0.410744585279	0.432405334407	0.138818783363
14	0.43375730123	0.445768815188	0.136470614418
15	0.471390606559	0.502103054646	0.135440843621
16	0.481530976625	0.490904684293	0.146743020919
17	0.5048885679	0.547386389558	0.165616359512
18	0.50557672924	0.568434565142	0.166014824814
19	0.523545715718	0.565798834766	0.172246743975
20	0.540739065015	0.587232418434	0.17732281035
21	0.565284175112	0.624509540216	0.179858558627
22	0.589009656374	0.649271953586	0.179278968059
23	0.602389497269	0.662200677658	0.18365374535
24	0.561343464756	0.511450381679	0.177427188297
25	0.45860610044	0.478817433709	0.110093469152
26	0.461423818243	0.458342666846	0.102547549072
27	0.513429276939	0.506180140106	0.0919065260843
28	0.509049446055	0.520144095264	0.104072014952
29	0.479100359056	0.481470902205	0.116386991496
30	0.491653810159	0.499179840838	0.0825799949377
31	0.517665658614	0.529826007927	0.102491577791
32	0.52658477627	0.528084988621	0.0864485622785
33	0.523387867136	0.524751676221	0.0791825378563
34	0.561056522119	0.566002971413	0.11304027646
35	0.564186603499	0.566719403463	0.0791515152441
36	0.550330440201	0.553478831246	0.0955256859865
37	0.571864666164	0.568109010487	0.0838695873932
38	0.58870773365	0.589880689769	0.0920658268161
39	0.60114316163	0.608470340116	0.113154241474
40	0.576853994175	0.571098857905	0.098408191185
41	0.611407015229	0.608095631443	0.0889472494262
42	0.627860204561	0.623873937278	0.0844446979594
43	0.625048573104	0.633552275621	0.0880576571322
44	0.628429587251	0.632865376615	0.0963901771983
45	0.635517588523	0.653990641943	0.0841735294039
46	0.644654042273	0.647469096088	0.0870298233038
47	0.655103732386	0.654224456018	0.0927874924178
48	0.678509576657	0.694279822374	0.0741097570574
49	0.660535096722	0.655416825632	0.0802533743428
50	0.696376527127	0.698275033337	0.0826962418445
51	0.674534509395	0.671781496554	0.0675037239547
52	0.696168536574	0.692140120416	0.0832624196328
53	0.710396835567	0.71614685301	0.0889785078324
54	0.73432533031	0.750667374563	0.0780519817522
55	0.721932921924	0.718945648989	0.0682560122507
56	0.731352801599	0.740560466632	0.073778741592
57	0.724101783724	0.724182205774	0.0770438674052
58	0.759352133768	0.757657692219	0.0766169574258
59	0.755364492178	0.756830563662	0.0790051972752
60	0.747042997986	0.754566989346	0.0790239767509
61	0.769571242172	0.766059978059	0.0734388576082
62	0.750100469076	0.760568317904	0.0700451405856
63	0.76638330387	0.782170572714	0.0841113853243
64	0.791774111676	0.794211456484	0.0695027443642
65	0.793929339637	0.800486187725	0.0575452593788
66	0.796642086045	0.804489118539	0.0605891767805
67	0.786286461163	0.78339903486	0.0666006337166
68	0.80295188953	0.809603492202	0.0640923729749
69	0.806513039161	0.799936937391	0.0666259309348
70	0.819092168861	0.81734758117	0.0577348002255
71	0.818140539232	0.82388694985	0.0459892695501
72	0.818254346334	0.815675964443	0.052427593415
73	0.837711752864	0.852316931021	0.0587069533927
74	0.831946978421	0.836666544794	0.0619998926931
75	0.852968033617	0.862967494103	0.0573344356949
76	0.854006574069	0.854853059252	0.0384517902597
77	0.853092603555	0.859521427054	0.0495330806444
78	0.86389555325	0.862303273918	0.0433315246775
79	0.853436672276	0.860507840932	0.0518941449738
80	0.864957256446	0.872681755535	0.0435391939934
81	0.873937938923	0.878314737308	0.0446609567398
82	0.875674724403	0.880176785134	0.0421734090347
83	0.875843930706	0.877581591217	0.0419811031532
84	0.890719585334	0.900860481256	0.038300213857
85	0.888208389847	0.89062740459	0.0346357508086
86	0.896763845498	0.899139268922	0.0240419368499
87	0.900171894427	0.909899163895	0.0336603082466
88	0.898752409942	0.906620488983	0.0372570416712
89	0.910866948737	0.914496868971	0.0308264579805
90	0.911257554454	0.919091354257	0.0340650834449
91	0.919190749773	0.923157780107	0.0267972635607
92	0.924294933235	0.927977315272	0.0191777034073
93	0.928970546498	0.936759646026	0.0209747786459
94	0.92355027604	0.93120140905	0.0233825064031
95	0.926840161271	0.934385476941	0.0218150201008
96	0.936981031088	0.942067824808	0.0179419758503
97	0.941564051858	0.947736328365	0.016802371168
98	0.944150005283	0.94858551871	0.0137619302204
99	0.948978241427	0.952658775147	0.0106091712492
100	0.953015661446	0.953015661446	0.0
